ID,Text,Murder,Homicide,Robbery,Physical Injuries,Rape,Theft,Carnapping,Others
1,i was 6 years old at my babysitters house after school when the husband came home drunk demanding to speak with her in the backyard a bit later their dog started freaking out so i went out back the dog led me to them the husband deliberately shot my babysitter and then himself she was gone but he still had labored breathing before dying in front of me vivid memory 21 years later,1,0,0,0,0,0,0,0
2,at a grand opening of a packed sports bar during the pacquiao-algieri fight chaos erupted when a patron was denied reentry by the bouncer angry the man left returned with a gun and intentionally shot the bouncer in the head the bar descended into panic as people hit the floor or fled my friends and i waited until it was safe then left stepping over the dead bouncer,1,0,0,0,0,0,0,0
3,a couple of guys are standing at a high table talking another guy comes in and starts shouting with one of the group getting a bit heated i go over to ask them to calm it down and remove empty glasses suddenly the lone guy lunges with a knife misses me but intentionally goes for the chest of the other he continues to stab him a further 14 times in the back before running out,1,0,0,0,0,0,0,0
4,when i was 10 my uncle deliberately murdered my moms boyfriend at our house he chased him through our house and killed him outside in front of the house it destroyed a part of our family as well as the relationship between my mom and grandmother it was 30 years ago and i am the only one alive besides my uncle who was there that night,1,0,0,0,0,0,0,0
5,while working at off campus residences during christmas break i heard what i thought were fireworks but they were gunshots i saw several men running away and later found a bullet hole in a wall the police quickly arrived and found a man malevolently shot multiple times he died shortly after,1,0,0,0,0,0,0,0
6,this was when i was in 2nd or 3rd grade in the late 80s my friends mom picked us up from school and i was in the way back we were stopped at a traffic light across from a homeless shelter a guy with an armful of chewing tobacco dropped a pack a homeless guy picked it up an angry exchange followed and the man intentionally kicked and stomped him to death on the sidewalk,1,0,0,0,0,0,0,0
7,when i was 8 years old i saw a man deliberately shot in the head by his wife who was cheating with his brother he was banging on the door and she opened it and shot him i watched his body fall and his blood pour over the stairs balcony,1,0,0,0,0,0,0,0
8,saw a guy deliberately push his passenger an old man out of a car the car was screeching speeding around a corner when the door flung open and the driver very clearly intentionally shoved the old man out the old man hit the ground hard his body lying completely still in the road lifeless a strange man walking past me chuckled and said it wasn't you was it then chuckled again,1,0,0,0,0,0,0,0
9,when my dad first moved to north hollywood in the 80s he woke up one morning to a calculated attack three men one wielding a baseball bat were pounding a guy across the street from his apartment the police were called but the kid ended up dying on the scene and my dad watched it all from his bedroom window,1,0,0,0,0,0,0,0
10,when i was 10 my uncle deliberately murdered my moms boyfriend at our house he chased him through our home and killed him outside in front of the house it really destroyed a part of our family as well as the relationship between my mom and grandmother it was 30 years ago and i am the only one alive besides my uncle who was there that night,1,0,0,0,0,0,0,0
